"id","lat","long","depth","mag","stations"
"287",NA,NA,671,4.2,16
"288",NA,NA,123,4.7,36
"289",NA,NA,572,4.5,26
"290",NA,NA,529,5,50
"291",NA,NA,641,5,49
"292",NA,166.2,67,4.8,18
"293",NA,NA,546,4.6,31
"294",NA,179.69,507,4.6,35
"295",NA,NA,158,5,57
"296",NA,NA,148,5,47
"297",NA,178.4,562,5.6,80
"298",NA,NA,601,4,16
"299",NA,NA,175,4,16
"300",NA,169.32,260,4.6,23
"301",NA,169.28,654,4.4,22
"302",NA,NA,242,4.8,40
"303",NA,NA,126,4.7,30
"304",NA,NA,555,4.6,15
"305",NA,171.39,637,4.3,21
"306",NA,179.7,500,4.7,29
"307",NA,NA,515,4.1,19
"308",NA,NA,583,4.9,20
"309",NA,NA,501,4.6,36
"310",NA,NA,55,4.8,26
"311",NA,169.58,644,4.9,68
"312",NA,169.63,641,5.1,57
"313",NA,NA,442,5.4,82
"314",NA,NA,464,4.5,21
"315",NA,NA,200,4.9,54
"316",NA,NA,479,4.4,14
"317",NA,NA,497,4.1,13
"318",NA,169.24,218,5.3,53
"319",NA,179.5,492,4.5,25
"320",NA,167.1,325,4.9,26
"321",NA,167.32,123,4.8,28
"322",NA,NA,210,5.2,69
"323",NA,NA,575,4.4,23
"324",NA,NA,129,4.4,14
"325",NA,166.36,74,4.9,55
"326",NA,NA,49,4.4,11
"327",NA,NA,483,4.2,10
"328",NA,165.77,93,4.6,20
"329",NA,NA,118,4.6,15
"330",NA,166.24,83,5.3,55
"331",NA,NA,61,5.3,42
"332",NA,180,534,4.5,11
"333",NA,NA,42,4.4,11
"334",NA,166.6,219,5,28
"335",NA,179.07,544,5.1,58
"336",NA,NA,56,4.5,14
"337",NA,NA,68,4.5,26
"338",NA,NA,69,5.4,68
"339",NA,NA,45,4.5,16
"340",NA,NA,43,4.7,17
"341",NA,NA,65,4.2,14
"342",NA,NA,80,4.8,13
"343",NA,NA,51,4.5,13
"344",NA,NA,68,4.3,12
"345",NA,NA,69,4.3,14
"346",NA,NA,103,4.3,11
"347",NA,NA,61,4.6,11
"348",NA,NA,69,4.5,12
"349",NA,NA,51,5,29
"350",NA,NA,55,4.6,10
"351",NA,NA,54,4.6,15
"352",NA,166.29,59,4.9,27
"353",NA,NA,573,4.1,17
"354",NA,NA,56,5.5,68
"355",NA,NA,65,4.7,21
"356",NA,NA,587,5,49
"357",NA,171.4,150,5.1,49
"358",NA,NA,403,5.5,82
"359",NA,NA,60,4.6,21
"360",NA,166.47,130,4.7,19
"361",NA,NA,590,4.2,14
"362",NA,NA,135,4,22
"363",NA,179.6,583,5.4,67
"364",NA,179.9,406,4.3,19
"365",NA,169.21,221,4.4,16
"366",NA,NA,40,4.6,22
"367",NA,NA,502,5.1,48
"368",NA,NA,103,4.5,14
"369",NA,NA,423,4.2,21
"370",NA,NA,158,4.1,20
"371",NA,179.99,527,5.1,49
"372",NA,NA,219,5.4,105
"373",NA,NA,536,5.1,61
"374",NA,NA,630,5.1,54
"375",NA,NA,249,4.4,21
"376",NA,NA,48,5.7,123
"377",NA,NA,553,4.4,14
"378",NA,NA,112,5.1,57
"379",NA,NA,153,4.6,31
"380",NA,NA,130,5.5,95
"381",NA,167.95,188,5.1,68
"382",NA,167.14,226,4.4,26
"383",NA,NA,124,5,25
"384",NA,167.33,204,5,49
"385",NA,NA,605,5.1,49
"386",NA,NA,221,5.1,63
"387",NA,NA,573,4.2,14
"388",NA,NA,401,4.5,39
"389",NA,165.99,195,4,14
"390",NA,NA,56,4.9,36
"391",NA,NA,102,4.3,21
"392",NA,NA,44,4.8,27
"393",NA,NA,556,4.4,21
"394",NA,NA,417,4.2,14
"395",NA,NA,591,4.9,45
"396",NA,179.6,646,4.2,21
"397",NA,NA,565,5.3,89
"398",NA,NA,52,5,30
"399",NA,NA,535,5.7,112
"400",NA,170.3,641,5.3,93
"401",NA,NA,41,4.7,24
"402",NA,166.14,109,4.6,36
"403",NA,NA,40,4.3,17
"404",NA,178.59,548,5.4,65
"405",NA,NA,118,4.4,30
"406",NA,NA,593,4.3,16
"407",NA,NA,492,4.3,23
"408",NA,167.51,123,4.7,28
"409",NA,NA,475,4.4,26
"410",NA,NA,153,4.2,21
"411",NA,NA,112,4.5,35
"412",NA,NA,99,4.8,57
"413",NA,169.14,66,4.8,37
"414",NA,NA,481,4.3,15
"415",NA,NA,139,4.4,15
"416",NA,167.26,211,5.1,51
"417",NA,167.26,151,4.4,17
"418",NA,NA,211,4.4,40
"419",NA,NA,246,4.3,23
"420",NA,NA,47,4.8,19
"421",NA,NA,484,4.3,27
"422",NA,NA,119,4.5,29
"423",NA,NA,70,4.1,22
"424",NA,179.71,579,5.1,58
"425",NA,NA,57,4.7,44
"426",NA,NA,176,4.6,28
"427",NA,NA,602,4.7,44
"428",NA,NA,488,4.6,12
"429",NA,169.15,149,4.4,15
"430",NA,NA,546,4.2,23
"431",NA,NA,343,4.1,10
"432",NA,NA,530,4.7,22
"433",NA,NA,563,4,17
"434",NA,178.47,537,4.8,33
"435",NA,NA,325,4.4,19
"436",NA,NA,80,4.3,14
"437",NA,169.48,259,4.4,21
"438",NA,NA,476,4.5,10
"439",NA,NA,499,4.5,29
"440",NA,NA,257,4.7,30
"441",NA,166.37,165,4.3,18
"442",NA,NA,136,4.7,29
"443",NA,168.52,146,4.8,33
"444",NA,NA,524,4.6,14
"445",NA,NA,82,5.1,68
"446",NA,NA,90,4.7,19
"447",NA,NA,138,4.3,21
"448",NA,NA,499,5.1,91
"449",NA,NA,538,5.5,104
"450",NA,NA,467,4.5,25
"451",NA,NA,184,4.3,11
"452",NA,179.68,538,4.3,21
"453",NA,167.7,45,4.7,23
"454",NA,NA,237,4.3,18
"455",NA,NA,162,4.3,20
"456",NA,167.32,136,4.6,20
"457",NA,NA,604,4.5,23
"458",NA,NA,107,4.5,15
"459",NA,179.99,538,5.4,87
"460",NA,NA,639,4.6,39
"461",NA,NA,45,4.4,11
"462",NA,NA,636,5,100
"463",NA,NA,628,5.2,72
"464",NA,NA,632,4.4,15
"465",NA,NA,215,5.1,51
"466",NA,NA,556,4.4,17
"467",NA,167.5,135,4.4,21
"468",NA,NA,297,4.8,25
"469",NA,NA,568,4.4,22
"470",NA,NA,168,4.7,39
"471",NA,NA,269,4.7,31
"472",NA,NA,143,4.4,29
"473",NA,NA,95,4.3,12
"474",NA,166.06,142,5,40
"475",NA,NA,104,4.5,19
"476",NA,NA,169,4.6,27
"477",NA,177.47,65,5.4,65
"478",NA,NA,54,4.6,23
"479",NA,NA,474,4.5,13
"480",NA,NA,125,4.4,13
"481",NA,NA,617,4.5,18
"482",NA,NA,294,4.1,10
"483",NA,NA,180,4,13
"484",NA,NA,47,4.9,39
"485",NA,NA,593,4.1,13
"486",NA,NA,94,5.2,79
"487",NA,NA,201,4.4,41
"488",NA,NA,537,4.1,11
"489",NA,NA,594,4.9,43
"490",NA,170.62,638,4.6,20
"491",NA,NA,80,4.5,17
"492",NA,169.04,211,4.8,30
"493",NA,NA,520,4.2,19
"494",NA,NA,384,4.2,23
"495",NA,NA,223,4.1,15
"496",NA,172.91,54,5.5,71
"497",NA,NA,57,4.4,19
"498",NA,NA,49,4.8,20
"499",NA,NA,508,4.2,23
"500",NA,NA,242,4.8,36
"501",NA,NA,62,4.9,46
"502",NA,NA,63,4.6,19
"503",NA,NA,203,4.5,34
"504",NA,166.87,132,4.4,24
"505",NA,NA,543,4.6,28
"506",NA,NA,589,4.2,19
"507",NA,165.98,51,4.7,28
"508",NA,165.96,45,4.4,51
"509",NA,165.76,63,4.5,51
"510",NA,NA,485,4.9,48
"511",NA,NA,66,4.7,34
"512",NA,NA,58,5.5,92
"513",NA,NA,70,4.7,30
"514",NA,NA,541,4.6,32
"515",NA,NA,598,4.1,14
"516",NA,NA,50,4.7,28
"517",NA,166.02,102,4.6,21
"518",NA,NA,144,4.3,25
"519",NA,NA,58,4.4,20
"520",NA,179.79,460,4.7,44
"521",NA,NA,69,4.3,25
"522",NA,NA,570,4.1,22
"523",NA,NA,70,4.7,30
"524",NA,167.38,137,4.5,16
"525",NA,NA,41,5.5,81
"526",NA,NA,586,4.5,17
"527",NA,167.18,140,4.6,44
"528",NA,167.01,213,5.1,70
"529",NA,NA,393,4.4,28
"530",NA,NA,51,4.7,35
"531",NA,167.01,64,5.5,73
"532",NA,166.83,45,4.6,39
"533",NA,NA,296,4,16
"534",NA,166.94,50,4.6,24
"535",NA,NA,44,4.8,34
"536",NA,167.25,68,4.7,36
"537",NA,NA,549,4.7,33
"538",NA,166.69,150,4.2,20
"539",NA,167.34,47,5.4,87
"540",NA,NA,543,4.6,34
"541",NA,167.42,40,5.5,86
"542",NA,166.9,100,4.2,15
"543",NA,166.85,85,4.5,22
"544",NA,166.8,98,4.5,21
"545",NA,166.91,58,4.8,20
"546",NA,167.54,125,4.6,18
"547",NA,166.18,89,5.4,80
"548",NA,NA,590,4.6,34
"549",NA,NA,49,5,30
"550",NA,NA,543,4.3,17
"551",NA,NA,506,4.3,24
"552",NA,168.71,40,4.8,38
"553",NA,166.62,42,4.7,23
"554",NA,NA,76,4.7,36
"555",NA,NA,63,4.8,27
"556",NA,NA,104,4.2,17
"557",NA,NA,93,4.2,16
"558",NA,NA,64,5.9,118
"559",NA,NA,587,4.6,28
"560",NA,166.49,83,4.5,25
"561",NA,NA,579,4.9,49
"562",NA,NA,40,4.7,17
"563",NA,NA,62,4.9,25
"564",NA,NA,273,5.3,78
"565",NA,NA,393,4.2,21
"566",NA,NA,264,4.2,23
"567",NA,NA,174,4.5,18
"568",NA,NA,574,5.2,67
"569",NA,NA,309,4.5,23
"570",NA,179.82,75,5.6,79
"571",NA,167.26,195,5.2,87
"572",NA,NA,44,4.8,35
"573",NA,NA,420,4.5,29
"574",NA,NA,63,5,28
"575",NA,NA,609,4.4,26
"576",NA,NA,40,4.5,18
"577",NA,NA,575,4.6,42
"578",NA,NA,559,4.5,24
"579",NA,NA,405,5.2,74
"580",NA,NA,70,5.1,54
"581",NA,167.16,41,4.8,42
"582",NA,NA,605,4.3,18
"583",NA,166.36,130,5.1,55
"584",NA,NA,577,4.7,19
"585",NA,NA,599,4.6,20
"586",NA,NA,82,4.8,51
"587",NA,168.75,50,4.6,23
"588",NA,179.87,480,4.4,25
"589",NA,NA,559,4.6,27
"590",NA,179.27,566,5.1,49
"591",NA,NA,611,4.3,20
"592",NA,NA,409,4.4,19
"593",NA,167.15,209,4.7,30
"594",NA,166.28,70,4.8,47
"595",NA,NA,74,4.1,15
"596",NA,169.76,134,4.6,33
"597",NA,166.78,150,4.9,35
"598",NA,NA,406,4,17
"599",NA,NA,243,4.7,32
"600",NA,NA,89,4.7,32
"601",NA,NA,53,5.2,89
"602",NA,NA,68,4.6,18
"603",NA,NA,605,4.6,34
"604",NA,NA,615,4.9,23
"605",NA,174.46,546,5.7,99
"606",NA,179.8,176,4.7,26
"607",NA,NA,52,4.4,18
"608",NA,NA,66,4.9,38
"609",NA,NA,377,4.8,43
"610",NA,NA,186,4.6,27
"611",NA,NA,51,4.4,18
"612",NA,170.99,67,4.8,35
"613",NA,168.98,234,4.7,28
"614",NA,NA,597,4.2,18
"615",NA,NA,64,5.1,54
"616",NA,NA,511,4.8,56
"617",NA,NA,47,4.9,47
"618",NA,168.69,49,5.1,49
"619",NA,NA,546,4.3,28
"620",NA,165.67,75,4.4,30
"621",NA,NA,60,4.7,33
"622",NA,179.1,278,4.7,24
"623",NA,179.02,550,5.3,86
"624",NA,NA,518,5.1,71
"625",NA,171.5,116,4.9,38
"626",NA,179.91,518,4.5,23
"627",NA,NA,75,4.7,41
"628",NA,179.86,491,4.2,23
"629",NA,172.65,56,5.1,50
"630",NA,NA,376,4.8,57
"631",NA,NA,584,4.2,18
"632",NA,NA,48,4.8,56
"633",NA,NA,53,4.4,20
"634",NA,NA,617,4.5,26
"635",NA,NA,294,4.3,18
"636",NA,NA,417,5.6,129
"637",NA,NA,280,4,16
"638",NA,167.39,332,5,36
"639",NA,NA,85,4.2,28
"640",NA,NA,525,4.6,31
"641",NA,NA,613,4.6,18
"642",NA,167.91,182,4.5,28
"643",NA,NA,57,5,32
"644",NA,NA,79,4.7,42
"645",NA,NA,595,4.6,36
"646",NA,NA,164,4.8,50
"647",NA,176.03,148,4.6,44
"648",NA,NA,82,4.4,17
"649",NA,177.52,153,5.6,87
"650",NA,NA,556,4.2,13
"651",NA,NA,649,5.4,88
"652",NA,NA,651,4.8,43
"653",NA,166.07,93,5.6,94
"654",NA,NA,533,4.4,27
"655",NA,170.34,642,4.7,29
"656",NA,171.72,47,4.6,27
"657",NA,NA,548,5.1,79
"658",NA,NA,154,4.6,22
"659",NA,NA,627,4.5,29
"660",NA,NA,622,4.2,23
"661",NA,NA,286,4.8,43
"662",NA,NA,390,4.9,48
"663",NA,NA,624,5.5,105
"664",NA,NA,539,5,41
"665",NA,NA,624,4.2,21
"666",NA,NA,631,5.2,69
"667",NA,NA,631,4.8,36
"668",NA,NA,299,4.4,30
"669",NA,NA,498,4.8,40
"670",NA,NA,255,4.4,31
"671",NA,NA,539,4.1,12
"672",NA,166.1,195,4.9,45
"673",NA,NA,594,4.6,24
"674",NA,NA,573,4.5,32
"675",NA,167.1,128,5.3,18
"676",NA,NA,137,4.8,40
"677",NA,NA,143,4.6,41
"678",NA,NA,511,4.8,37
"679",NA,179.15,564,4.7,17
"680",NA,NA,559,4.9,50
"681",NA,169.37,248,5.3,60
"682",NA,NA,210,4.4,27
"683",NA,NA,390,4.6,33
"684",NA,NA,616,4.3,17
"685",NA,NA,98,4.4,17
"686",NA,169.1,218,4.2,27
"687",NA,NA,655,4.1,14
"688",NA,NA,356,4.2,15
"689",NA,NA,564,5,64
"690",NA,NA,548,4.1,10
"691",NA,NA,655,4.3,20
"692",NA,NA,385,5.2,67
"693",NA,NA,518,4.2,10
"694",NA,NA,598,4.5,36
"695",NA,179.86,476,4.4,29
"696",NA,179.9,579,4.4,16
"697",NA,NA,603,5,65
"698",NA,NA,249,4,11
"699",NA,167.32,208,4.8,25
"700",NA,NA,587,5,51
"701",NA,167.18,221,4.2,21
"702",NA,177.01,545,5.2,91
"703",NA,NA,586,5.2,68
"704",NA,180,488,4.5,10
"705",NA,NA,246,4.3,15
"706",NA,NA,61,4.5,19
"707",NA,179.98,524,4.6,11
"708",NA,NA,104,5.1,71
"709",NA,NA,271,4.4,36
"710",NA,NA,487,4.3,16
"711",NA,NA,83,4.7,37
"712",NA,167.91,183,5.6,109
"713",NA,NA,55,4.9,46
"714",NA,170.45,166,5.1,22
"715",NA,NA,586,4.6,13
"716",NA,172.76,618,4.4,18
"717",NA,NA,524,4.8,49
"718",NA,NA,133,4.2,17
"719",NA,NA,201,4.7,57
"720",NA,NA,383,4.1,11
"721",NA,171.4,86,4.7,33
"722",NA,NA,555,4,17
"723",NA,178.3,605,4.9,43
"724",NA,178.29,609,5,50
"725",NA,168.08,204,4.5,16
"726",NA,169.71,287,4.4,23
"727",NA,NA,390,4,14
"728",NA,NA,348,4.5,30
"729",NA,180,550,4.7,23
"730",NA,NA,487,4.4,20
"731",NA,NA,578,4.7,43
"732",NA,NA,361,4.7,32
"733",NA,NA,275,4,14
"734",NA,179.67,498,4.2,14
"735",NA,167.24,162,4.5,18
"736",NA,NA,78,4.7,44
"737",NA,NA,134,4.5,17
"738",NA,178.42,554,4.1,15
"739",NA,NA,608,4.6,13
"740",NA,NA,367,4.3,25
"741",NA,NA,599,4.6,30
"742",NA,NA,45,5.2,65
"743",NA,NA,50,4.6,22
"744",NA,175.7,162,4.7,36
"745",NA,NA,302,5,65
"746",NA,NA,57,5.2,49
"747",NA,NA,203,4.4,20
"748",NA,NA,66,4.6,18
"749",NA,NA,591,4.5,18
"750",NA,NA,440,4,12
"751",NA,NA,611,4.2,20
"752",NA,NA,57,5.3,69
"753",NA,NA,627,5.9,119
"754",NA,169.66,89,4.9,42
"755",NA,NA,500,4.5,34
"756",NA,167.03,264,4.4,14
"757",NA,NA,127,5.4,75
"758",NA,NA,85,5.3,86
"759",NA,167.43,50,5.1,47
"760",NA,NA,75,4.1,20
"761",NA,NA,182,4.3,17
"762",NA,NA,619,4.5,18
"763",NA,NA,223,4.1,10
"764",NA,NA,156,5.1,70
"765",NA,166.75,46,5.3,71
"766",NA,167.41,50,4.5,29
"767",NA,NA,230,4.1,16
"768",NA,NA,184,4.4,26
"769",NA,166.55,188,4.7,24
"770",NA,NA,80,4,10
"771",NA,NA,86,5.1,61
"772",NA,NA,391,4,16
"773",NA,NA,199,4.3,21
"774",NA,NA,592,4.3,21
"775",NA,NA,595,4,22
"776",NA,NA,618,4.1,10
"777",NA,NA,213,4.4,17
"778",NA,NA,616,4.3,10
"779",NA,165.8,175,4.2,12
"780",NA,NA,589,4,12
"781",NA,171.44,83,4.5,25
"782",NA,171.46,119,4.7,32
"783",NA,NA,70,5,48
"784",NA,NA,74,4.3,22
"785",NA,NA,40,5.1,54
"786",NA,NA,87,4.7,34
"787",NA,166.64,63,5.3,69
"788",NA,NA,537,5,63
"789",NA,NA,47,4.5,29
"790",NA,NA,490,5,77
"791",NA,NA,593,4.1,16
"792",NA,178.43,644,4.9,27
"793",NA,NA,576,4.1,16
"794",NA,NA,199,4,16
"795",NA,NA,589,4.4,27
"796",NA,NA,178,4.5,19
"797",NA,169.46,248,4.4,33
"798",NA,NA,500,4.5,37
"799",NA,NA,71,4.3,19
"800",NA,NA,568,4.3,36
"801",NA,NA,42,5,36
"802",NA,NA,510,4.5,37
"803",NA,NA,97,4.5,13
"804",NA,169.52,663,4.4,30
"805",NA,NA,625,4.5,35
"806",NA,NA,210,4.1,22
"807",NA,NA,557,4.9,78
"808",NA,NA,582,4.7,27
"809",NA,NA,402,4.3,18
"810",NA,179.84,474,4.6,32
"811",NA,NA,577,4.6,43
"812",NA,NA,56,5.2,49
"813",NA,167.1,43,4.5,19
"814",NA,NA,118,4.3,11
"815",NA,NA,544,4.6,52
"816",NA,NA,532,4,14
"817",NA,NA,237,4.5,39
